team,year,leag,o_fgm,o_fga,o_ftm,o_fta,o_oreb,o_dreb,o_reb,o_asts,o_pf,o_stl,o_to,o_blk,o_3pm,o_3pa,o_pts,d_fgm,d_fga,d_ftm,d_fta,d_oreb,d_dreb,d_reb,d_asts,d_pf,d_stl,d_to,d_blk,d_3pm,d_3pa,d_pts,pace,won,lost
WAT,1949,N,1746,4904,1429,2002,0,0,0,1324,1780,0,0,0,0,0,4921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5264,0,19,43
WSC,1949,N,1813,5493,1575,2111,0,0,0,1057,1837,0,0,0,0,0,5201,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5263,0,32,36
BA1,1950,N,1955,5542,1504,2020,0,0,3044,1345,1736,0,0,0,0,0,5414,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5564,0,24,42
BOS,1950,N,2065,5607,1751,2415,0,0,3499,1579,1881,0,0,0,0,0,5881,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5900,0,39,30
FTW,1950,N,2002,5927,1718,2387,0,0,3725,1142,1961,0,0,0,0,0,5722,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5848,0,32,36
INI,1950,N,2096,5779,1363,1902,0,0,2779,1455,1569,0,0,0,0,0,5555,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5712,0,31,37
MIE,1950,N,2084,5590,1464,1989,0,0,3409,1408,1801,0,0,0,0,0,5632,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5263,0,44,24
NYK,1950,N,2037,5380,1592,2231,0,0,3421,1551,1810,0,0,0,0,0,5666,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5636,0,36,30
PH1,1950,N,1985,5665,1664,2181,0,0,3586,1432,1710,0,0,0,0,0,5634,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5386,0,40,26
ROC,1950,N,2032,5377,1692,2248,0,0,3015,1368,1534,0,0,0,0,0,5756,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5556,0,41,27
SYR,1950,N,1884,5365,1912,2634,0,0,3259,1493,1995,0,0,0,0,0,5680,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5643,0,32,34
TRI,1950,N,1988,6041,1754,2425,0,0,3715,1476,2092,0,0,0,0,0,5730,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5984,0,25,43
WSC,1950,N,967,2893,910,1244,0,0,1567,584,1050,0,0,0,0,0,2844,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3010,0,10,25
BA1,1951,N,1882,5495,1614,2211,0,0,3780,1417,1719,0,0,0,0,0,5378,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5874,0,20,46
BOS,1951,N,2131,5510,1765,2406,0,0,3750,1606,1734,0,0,0,0,0,6027,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5762,0,39,27
FTW,1951,N,1771,5013,1609,2194,0,0,3619,1403,1751,0,0,0,0,0,5151,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5287,0,29,37
INI,1951,N,2026,5513,1422,1965,0,0,3288,1290,1586,0,0,0,0,0,5474,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5465,0,34,32
MI1,1951,N,1674,5055,1485,2177,0,0,3540,1229,1848,0,0,0,0,0,4833,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5359,0,17,49
MIE,1951,N,2106,5733,1436,1921,0,0,3543,1389,1763,0,0,0,0,0,5648,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5247,0,40,26
NYK,1951,N,2022,5282,1565,2185,0,0,3834,1567,1770,0,0,0,0,0,5609,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5557,0,37,29
PH1,1951,N,2039,5367,1634,2143,0,0,3647,1593,1806,0,0,0,0,0,5712,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5795,0,33,33
ROC,1951,N,2014,5172,1661,2150,0,0,3373,1590,1804,0,0,0,0,0,5689,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5471,0,41,25
SYR,1951,N,1894,5207,1933,2589,0,0,3603,1373,1970,0,0,0,0,0,5721,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5425,0,40,26
BA1,1952,N,2083,5615,1745,2542,0,0,3727,1514,2141,0,0,0,0,0,5911,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6307,0,16,54
BOS,1952,N,2177,5555,1904,2617,0,0,3865,1666,1911,0,0,0,0,0,6258,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6092,0,46,25
FTW,1952,N,1876,5230,1839,2491,0,0,3548,1438,2119,0,0,0,0,0,5591,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5596,0,36,33
INI,1952,N,1829,5204,1637,2277,0,0,3326,1281,1765,0,0,0,0,0,5295,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5495,0,28,43
MI1,1952,N,1873,5320,1643,2400,0,0,3429,1427,2120,0,0,0,0,0,5389,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5595,0,27,44
